song,artist,comment
nothin on you,bob featuring bruno mars,"nothin on you is the debut single by american rapper bob from his debut studio album bob presents the adventures of bobby ray he cowrote the track with its producers bruno mars philip lawrence and ari levine of the smeezingtons mars also contributes additional vocals to the song it was first released on december 15 2009 via digital download by atlantic records nothin on you was initially written for lupe fiasco but atlantic records chairman craig kallman gave the song to bob after being displeased with fiascos version the song took several months to finish and was born from a hummed melody by mars and lawrence
nothin on you is an rb hiphop and pop southern rap ballad some music critics praised its sweetness and positive vibe while a few criticized the track due to mars performance the songs main structure relies on a piano a jim jonsinhelmedbeat funky elements and a sample of joe texs i gotcha lyrically the record aims at a womans heart by flattering and showing her she is unique the single reached the number one position in some countries including the united states and the united kingdom the third and fifth spot in australia and new zealand respectively and the top ten in canada it was certified triple platinum by the recording industry association of america riaa and once by australian recording industry association aria and music canada mc
the music video directed by ethan lader with animation done by george rausch and was filmed in los angeles it features the paper cutout technique which takes multiple collages and taps them one over each other in this case depicting various women the video is interpolated with footage of the performers playing instruments along with lawrence the track has been covered by various recording artists including weird al yankovic it was nominated for record of the year best rap song and best rapsung collaboration at the 53rd grammy awards the song was performed live at the ellen degeneres show and at the 2010 mtv video music awards both artists have promoted it during their respective tours"
i like it,enrique iglesias featuring pitbull,i like it is a song performed by spanish singer enrique iglesias taken from his first bilingual studio album euphoria it features guest vocals from american rapper pitbull both artists cowrote the electropop song with redone who produced it it also interpolates lionel richies 1983 single all night long all night with vocals rerecorded by richie himself i like it was released on 3 may 2010 the song was also included on the official soundtrack to mtv reality series jersey shore a version of the song without pitbull is also found on the international version of euphoria the song also serves as the first single from the jersey shore soundtrack the song was the official song of airtel 2010 champions league twenty20 the song has sold 4 million copies in the us alone and over 6 million copies worldwide making it one of the best selling singles of all time
bedrock,young money featuring lloyd,bedrock is the second single by hip hop group young money entertainment from their debut collaboration album we are young money it is performed by young money artists lil wayne gudda gudda nicki minaj drake tyga jae millz and features rb singer lloyd it was released as a cd in the united kingdom on march 22 2010 bedrock is featured as a bonus track on the japanese and new zealand editions of nicki minajs debut studio album pink friday
rude boy,rihanna,"rude boy is a song by barbadian singer rihanna taken from her fourth studio album rated r 2009 it was released as the albums third single on february 19 2010 through def jam rihanna cowrote the song with stargate ester dean makeba riddick and rob swire with swire also coproducing it with stargate rude boy is an uptempo dancehall and rb song which incorporates elements of raggamuffin the song received mixed to positive reviews from critics some called it is the highlight of the album but others criticized rihannas monotone and icy vocal performance
rude boy peaked at number one on the us billboard hot 100 in its fourth week for five consecutive weeks and was rihannas sixth us number one single it was a commercial success globally peaked at number one in australia and attained top five positions in germany hungary ireland new zealand norway poland slovakia and the united kingdom the accompanying music video was directed by melina matsoukas used greenscreen techniques and featured props that included a stuffed lion and zebra rihanna performed the song live for the first time at the pepsi super bowl fan jam in south beach miami and later on the ellen degeneres show and alan carr chatty man rude boy was also featured on the set lists of rihannas last girl on earth loud anti and diamonds tours"
telephone,lady gaga featuring beyonce,"telephone is a song recorded by american singer lady gaga for her third ep the fame monster 2009 the song features american singer beyoncé the song was written by gaga rodney jerkins lashawn daniels lazonate franklin and beyoncé inspired by her fear of suffocation gaga explained that the lyrics preferring relaxing on the dance floor to answering her lovers phone call are a metaphor the phone calling her representing the fear of not having worked hard enough to succeed originally gaga wrote the song for britney spears who recorded a demo musically telephone consists of an expanded bridge verserap and a sampled voice of an operator announcing that the phone line is unreachable beyoncé appears in the middle of the song singing the verses in a rapidfire way accompanied by double beats
the song received positive reviews from critics who frequently noted telephone as a standout track from the fame monster it was grammynominated for best pop collaboration with vocals in 2011 telephone charted in a number of countries due to digital sales following the albums release namely in the united states australia canada the netherlands new zealand sweden and hungary the song was particularly successful in europe where it reached the top of the charts in belgium denmark hungary ireland norway and the united kingdom according to the international federation of the phonographic industry the single sold 74 million digital copies worldwide in 2010 making it one of gagas bestselling singles
the accompanying music video is a continuation of the video for her 2009 song paparazzi and is also shot as a short film after gaga gets bailed out of prison by beyoncé they go to a diner and poison the guests having breakfast after the homicide they escape and end up in a highspeed police chase the video referenced quentin tarantino and his films pulp fiction 1994 and kill bill volume 1 2003 the video received generally positive reviews and was nominated for three awards at the 2010 mtv video music awards including one for video of the year in january 2015 billboard named it the best video of the first half of the decade in memory of alexander mcqueen gaga performed an acoustic rendition of telephone mixed with dance in the dark at the 2010 brit awards it was also performed during the super bowl li halftime show and many of the singer’s later tours the most recent being the joanne world tour 2017"
teenage dream,katy perry,"teenage dream is the third studio album by american singer katy perry it was released on august 24 2010 through capitol records musically it contains pop and dancepop with influences of disco electronic funk house gothic rock hinrg and hip hop lyrically it revolves around teenage love partying selfempowerment and personal growth perry cowrote every song on the album and also worked with a number of producers and writers including dr luke max martin benny blanco tricky stewart stargate greg kurstin bonnie mckee and ester dean
upon its release teenage dream received generally mixed reviews from music critics who complimented its production and themes while denouncing perrys songwriting the album debuted at number one on the us billboard 200 selling 192000 copies in its first week it was later certified three times platinum by the recording industry association of america riaa sold 3 million copies in the united states and charted within the top 40 of the billboard 200 yearend chart three years in a row the album also sold 13 million copies in the united kingdom where it was certified four times platinum by the british phonographic industry bpi as of july 2013 teenage dream has sold 6 million copies worldwide the album and its singles earned perry seven grammy award nominations including album of the year best pop vocal album and record of the year it also won international album of the year at the juno awards of 2011
the album was preceded by the numberone singles california gurls and teenage dream and later produced the numberone singles firework et and last friday night tgif its sixth the one that got away peaked at number three on the billboard hot 100 teenage dream is the second album in history to produce five numberone singles after michael jacksons 1987 album bad the first by a woman to achieve this milestone and the third album in history to produce eight top five hits all six of the aforementioned singles in addition to two from its 2012 reissue have sold over two million digital downloads each in the us setting a record in the digital era for the most multiplatinum singles from one album breaking the previous record of fergies debut album the dutchess 2006 which had five multiplatinum songs"
just the way you are,bruno mars,"just the way you are is the debut solo single by american singersongwriter bruno mars it is the lead single from his debut studio album doowops  hooligans 2010 the song was written by bruno mars philip lawrence ari levine khalil walton and needlz and produced by the former three under their alias the smeezingtons along with needlz it was released in the united states to contemporary hit radio on august 10 2010 the track was released in the united kingdom on september 19 2010 as just the way you are amazing the songs lyrics compliment a womans beauty
the debut single received positive reviews from critics who considered it a standout track on doowops  hooligans and praised the smeezingtons production it won a grammy award for best male pop vocal performance at the 2011 ceremony the song peaked at number one on the us billboard hot 100 australia canada new zealand and in the united kingdom charts and peaked in the top five in other countries it was certified nine times platinum by the recording industry association of america riaa seven times by the australian recording industry association aria and six times by music canada mc just the way you are was the best selling digital single of 2011 selling more than 125 million copies thus joining an elite group of bestselling singles worldwide
the music video directed by ethan lader was released on september 8 2010 and features peruvian born australian actress nathalie kelley the official remix features rapper lupe fiasco and is included on the deluxe edition of doowops  hooligans mars performed just the way you are on the doowops  hooligans tour 2010–2012 on the moonshine jungle tour 2013–2014 and on the 24k magic world tour 20172018 he also included it during his performance at the super bowl xlviii halftime show just the way you are has been covered by various recording artists and it inspired meghan trainors debut single all about that bass"
cooler than me,mike posner,cooler than me is the debut single by american singer mike posner it was released on april 16 2010 as the lead single from his debut studio album 31 minutes to takeoff 2010 it peaked at number 6 on the billboard hot 100 and reached number one on billboards hot dance airplay in its july 31 2010 issue the instrumental was produced by gigamesh another version labeled gigamesh remix was released on mike posners october 2009 mixtape one foot out the door the original version features american rapper big sean the song was produced and engineered by gigamesh and klepto of larceny entertainment they were later removed on the single mix
imma be,the black eyed peas,"imma be is a song performed by the american hip hop group the black eyed peas taken from their fifth studio album the end the songs title is a slang expression meaning i am going to be or i will be something or some activity initially released as a promotional single the song went on to receive a full release as the fourth single in the united states and canada from the album the fifth overall and is the third single from the album to reach numberone on the billboard hot 100
critical reception to the song was generally positive with some critics saying that it was a standout track from the album the video for the song was filmed backtoback as one collective clip totaling ten minutes in length with rock that body which is the fourth international single from the album the collective montage is titled imma be rocking that body the song was part of the soundtrack of the film the other guys 2010 and was used in the bar scene the song can also be heard in the film the hangover part ii 2011 however it does not feature on the official soundtrack"
empire state of mind,jayz and alicia keys,"empire state of mind is a song performed by american rapper jayz and featuring vocals by american singer alicia keys that was written by angela hunte and janet sewellulepic produced by al shux angela hunte and janet sewellulepic it was released as the third single from jayzs 11th studio album the blueprint 3 2009 by his roc nation label in october 2009 the song was written as a tribute to both artists hometown new york city and features music samples of love on a twoway street performed by the moments the following month they submitted the song to jayzs roc nation whose reviews were a discouragement following an incident that hunte and sewellulepic describe as an omen they took the suggestion of an associate of emi music publishing and resubmitted it to jayz who kept the new york singing part on the hook changed the verses and recorded it as a single
the single was supposed to feature hunte on the songs hook but when hunte and sewellulepic were asked if they thought anyone else would be more appropriate for the chorus hunte suggested keys mary j blige was also considered for the part but keys was chosen after jayz heard the songs piano loop keys wrote the bridge of the song the song was viewed as being an orchestral rap ballad and has poprap musical styles it contains references to various locations in new york and its famous residents while describing the citys essence profanity is present throughout the song and although it is usually included during live performances it was omitted during the performance at game 2 of the 2009 world series
a critical success the song was included in multiple critics top 10 list for the best songs of 2009 including rolling stone magazine and the new york times the song was also nominated for three grammy awards winning best rap song and best rapsung collaboration empire state of mind achieved commercial success worldwide the track peaked within the top 10 in countries including the united states the united kingdom canada australia france italy and sweden the single was commercially successful in the united states peaking at number one on the billboard hot 100 for five consecutive weeks becoming jayzs first numberone single on the chart as a lead artist it appeared in 2009 yearend charts in italy australia and the us where the song was also the last number one hit of the 2000s as of june 2014 the single has sold over 55 million copies in the united states
in the songs music video which is primarily in blackandwhite jayz and keys are shown performing the song in various locations in new york empire state of mind has been performed by jayz and keys multiple times including during the 2009 mtv video music awards and the 2009 american music awards usually when the duo performs the song an overhead screen shows images of places in new york keys recorded a sequel entitled empire state of mind part ii broken down which is featured on her fourth studio album the element of freedom 2009 her version was positively received by critics reached the top 10 in the uk the netherlands and ireland charts and peaked at number fiftyfive on the billboard hot 100 without an official release keys said that she chose to record her own version of empire state of mind because she wanted to express her own personal feelings about new york"
dj got us fallin in love,usher featuring pitbull,"dj got us fallin in love is a song by american rb recording artist usher it features guest vocals from american rapper pitbull who cowrote the song with the producers shellback and max martin with additional writing from savan kotecha it was released to digital download on july 13 2010 and sent to radio on july 20 2010 as the first single from ushers ep versus which is an extension of his sixth studio album raymond v raymond a europop electronic dance track the song puts emphasis on its chorus and follows the chord progression of gmfe♭ it received mixed to positive reviews from critics who favoured its production and ushers vocals but criticised the songs lack of originality
dj got us fallin in love peaked in the topten in over fifteen countries becoming one of ushers most successful singles it reached the topthree on the japan hot 100 canadian hot 100 hungary singles chart french singles chart and aria singles chart it peaked at number four on the billboard hot 100 marking ushers sixteenth topten hit on the chart it received a 4 times platinum certification from the australian recording industry association aria and a 2 times platinum certification from canadian recording industry association cria an accompanying music video directed by hiro murai shows usher krumping and crip walking in a club environment"
billionaire,travie mccoy featuring bruno mars,billionaire is the debut single by american recording artist travie mccoy featuring guest vocals from bruno mars it is the lead single from mccoys debut studio album lazarus the song was produced by the smeezingtons which consists of mars philip lawrence and ari levine lyrically mccoy imagines what would happen if he became a billionaire referencing all the good he would do to others with the money along with his desire to be on the cover of forbes magazine smiling next to oprah and the queen as of july 2011 the song has sold 3 million digital downloads making it mars third single to do so the song was also included in mars performance in super bowl xlviii halftime show in 2014 it was released in the uk via digital download on july 26 2010
not afraid,eminem,"not afraid is a song by american rapper eminem from his seventh studio album recovery 2010 it was released as the albums lead single on april 29 2010 by interscope records not afraid was first revealed as a single by eminem via twitter after which the song debuted on radio to promote the singles release a freestyle rap despicable was released on the internet and received attention for its tone and lyrical content not afraid was written and produced by eminem boi1da jordan evans and matthew burnett keyboardist luis resto was also attributed with songwriting credit according to eminems manager paul rosenberg and music critics not afraid carries a positive message and depicts eminems change in direction from drugs and violence the hip hop song features a choir that assists eminem in a heavily layered chorus and vocals are sung over a guitar synthesizer and piano no autotune was used on the sung vocals but many reverberation tools were
not afraid received mixed to positive reviews from music critics who praised the song for being anthemic in nature and carrying a positive message the song did however face criticism for its sudden change in theme from previous singles and was considered to be less affecting than some of his other songs despite mixed reception not afraid became the 16th song in billboard history to debut on the us billboard hot 100 at number one it also debuted as a charttopper in canada in june 2014 the song was certified 10× platinum by riaa making eminem the first artist with digital diamond awards for two songs not afraid has earned eminem mtv video music awards mtv video music awards japan grammy awards billboard music awards and detroit music awards
the song was accompanied by a music video which rich lee directed in may 2010 new york city and newark new jersey were chosen as settings to shoot the video reviewers praised the video as it followed the lyrics and praised the video for such depictions however the product placement in the video by nike shoes and beats by dr dre headphones was criticized in 2010 eminem performed not afraid at electronic entertainment expo 2010 e3 2010 oxegen 2010 t in the park 2010 and the 2010 mtv video music awards he has also performed the song at the bonnaroo music festival lollapalooza and the v festival rolling stone ranked it the 24th best song of 2010"
replay,iyaz,"replay is the debut single from british virgin islands recording artist iyaz it is the first single released from his debut album of the same name which was released on 8 june 2009
the single entered at the top of the uk singles chart where it remained for three weeks until it was knocked off the summit by fireflies by owl city internationally the single also topped the charts in australia israel and switzerland and peaked within the top ten of the charts in many countries including finland france and the united states the combined figure of the official music video and prequel video on youtube is currently around 180 million views"
sexy bitch,david guetta featuring akon,"sexy bitch also known as sexy chick in clean versions is a song by french dj david guetta recorded for his fourth studio album one love 2009 the song features vocals from senegaleseamerican recording artist akon it was released as the second single from one love internationally the song was serviced to mainstream and rhythmic crossover radios on 1 september 2009 in the united states through astralwerks together with capitol records
it was written by giorgio tuinfort aliaune thiam david guetta jeanclaude sindres and sandy vee the latter three also produced the song the song was made in one night after the two main artists met at a concert the lyrics of sexy bitch deal with the protagonists infatuation with a woman sexy bitch garnered generally mixed to positive reviews from music critics who commended the songs production
the song achieved commercial success worldwide peaking inside the top five in several countries including topping the charts in australia austria canada germany new zealand and the united kingdom sexy bitch peaked at number five on the billboard hot 100 and became guettas first top five hit in the united states the song also became his best selling song in the united states earning a triple platinum certification by the recording industry association of america riaa with sales of 3507000 copies as of march 2014 the music video for sexy bitch features guetta and akon at a house party and performing in a concert"
breakeven,the script,breakeven is a song by irish pop rock band the script it was released on 24 november 2008 as the third single from their eponymous debut album 2008 the song peaked at number 10 in ireland number 21 in the united kingdom number 12 in the united states billboard hot 100 and number 3 in australia
your love is my drug,keha,"your love is my drug is a song by american singersongwriter kesha taken from her debut studio album animal 2010 it was released as the albums third single on may 14 2010 the song was written by kesha and pebe sebert with ammo who coproduced the song with dr luke and benny blanco your love is my drugs initial writing took place during a plane ride described by kesha as a pretty happy song with dark undertones the songs inspiration came from keshas relationship with an exboyfriend written about the couples codependency the song compares their love for one another to a drug
prior to the release of animal the song charted in the united states the united kingdom and canada after being released as a single the song reached the top five in australia and the united states as well as reaching the top ten in canada the song has gone on to sell over three million copies in the us alone
kesha notably performed the song alongside tik tok on the 35th season of saturday night live where she was covered in glow in the dark triballike makeup in the psychedelicinfluenced music video for the song kesha is featured in the desert while being chased around by a love interest the video also features a digital animation sequence which was inspired by the beatles yellow submarine"
i gotta feeling,the black eyed peas,"i gotta feeling is the second single from the black eyed peas fifth album the end produced by french dj david guetta the song was released on june 23 2009 and debuted at number two on the canadian and billboard hot 100 on the week of june 27 2009 behind the groups boom boom pow making the group one of 11 artists who have occupied the top two positions of the billboard hot 100 at the same time the song samples take a dive by bryan pringle it later reached number one on the us charts and 20 charts worldwide
the song was nominated for record of the year at the 52nd grammy awards and won the grammy for best pop performance by a duo or group with vocals i gotta feeling was 5th on the billboard hot 100 songs of the decade the song was also nominated as song of the year at the 2009 world music awards in march 2011 it became the first song in digital history to sell over 7 million digital copies in the united states as of september 2017 i gotta feeling has over 89 million downloads in this country as it holds the record as the most downloaded song on itunes of all time this also makes it the highest selling digital as well as noncharity single in the us ever
i gotta feeling spent 14 consecutive weeks atop the billboard hot 100 the longestrunning numberone single of 2009 the song was the third most successful song of the decade in australia as announced on january 7 2010 worldwide it was the most successful song of the 21st century with estimates putting combined sales and streams between 13 and 15 million units until passed by happy by pharrell williams in 2014"
fireflies,owl city,"fireflies is the debut single from american electronica project owl citys album ocean eyes relient k vocalist matt thiessen is featured as a guest vocalist on the song adam young described the song as a little song about bugs and not being able to fall asleep at night the song is built around a bleepy synthline and includes lyrics about insomnia fireflies and summer
the song topped the billboard hot 100 for two nonconsecutive weeks internationally the song also topped the charts in australia belgium denmark finland the netherlands norway ireland sweden and the united kingdom fireflies was owl citys only top forty hit in the united states until three years later when good time a duet with canadian singer carly rae jepsen charted at no 8 it has been covered by christina grimmie cheryl cole and others
fireflies is featured in the video game disney sing it party hits and was used in the promotional video for eyepet it is available as downloadable content for both guitar hero 5 and rock band 3"
say aah,trey songz featuring fabolous,"say aah is a song by american recording artist trey songz featuring american rapper fabolous the track was written by the two along with nate walka ronald m ferebee jr tony scales and don correll with the latter producing it with troy taylor the song has lyrical content referring to a night of drinking during a birthday celebration
the song received mostly positive reviews and became songz biggest hit at the time reaching number nine on the us billboard hot 100 his first top ten hit additionally it reached number three on the hot rbhiphop songs chart and peaked at sixteen on the pop songs chart the song was later certified double platinum in the united states by the riaa say aah became songzs first song to chart internationally reaching number fortythree in canada the music video features songz and fabolous at a club and serves as a predecessor to the i invented sex clip the song was nominated for viewers choice and best collaboration at the 2010 bet awards"
