Rank,Song,Artist,Year,Lyrics
71,inside your heaven,carrie underwood,2005, ive been down now im blessed i felt a revelation coming around i guess its right its so amazing every time i see you im alive youre all ive got you lift me up the sun and the moonlight all my dreams are in your eyesand i wanna be inside your heaven take me to the place you cry from where the storm blows your way and i wanna be the earth that holds you every bit of air youre breathin in a soothin wind i wanna be inside your heavenwhen we touch when we love the stars light up the wrong becomes undone naturally my soul surrenders the sun and the moonlight all my dreams are in your eyesand i wanna be inside your heaven take me to the place you cry from where the storm blows your way and i wanna be the earth that holds you every bit of air youre breathin in a soothin wind i wanna be inside your heavenwhen minutes turn to days and years if mountains fall ill still be here holdin you until the day i diei wanna be inside your heaven take me to the place you cry from where the storm blows your wayi wanna be inside your heaven wanna be inside where the storm blows your way i wanna be inside your heaven take me to the place you cry from where the storm blows your way and i wanna be the earth that holds you every bit of air youre breathin in a soothin wind i wanna be inside your heaven 
72,because of you,kelly clarkson,2005, i will not make the same mistakes that you did i will not let myself cause my heart so much misery i will not break the way you did you fell so hard ive learned the hard way to never let it get that farbecause of you i never stray too far from the sidewalk because of you i learned to play on the safe side so i dont get hurt because of you i find it hard to trust not only me but everyone around me because of you i am afraidi lose my way and its not too long before you point it out i cannot cry because i know thats weakness in your eyes im forced to fake a smile a laugh everyday of my life my heart cant possibly break when it wasnt even whole to start withbecause of you i never stray too far from the sidewalk because of you i learned to play on the safe side so i dont get hurt because of you i find it hard to trust not only me but everyone around me because of you i am afraidi watched you die i heard you cry every night in your sleep i was so young you should have known better than to lean on me you never thought of anyone else you just saw your pain and now i cry in the middle of the night for the same damn thingbecause of you i never stray too far from the sidewalk because of you i learned to play on the safe side so i dont get hurt because of you i try my hardest just to forget everything because of you i dont know how to let anyone else in because of you im ashamed of my life because its empty because of you i am afraidbecause of you because of you 
73,truth is,fantasia,2005, ran into an old friend yesterday caught me by surprise when he called my name he was a familiar face from a chapter in my pasttalked for a while asked him how hes been said that he was seeing somebody and told me this was gonna last showing me her photographand all the feelings i thought were gone came rushing back to me at once tried to smile and hide the way i felt but i was thinking to myselftruth is i never got over you truth is wish i was standing in her shoes truth is and when its all said and done guess im still in love with youtruth is i never should have let you go truth is and its killing me cause now i know truth is when its all said and done guess im still in love with youwe reminisce on the way things used to be shared a couple laughs and some memories talked about the things that changed some for good and some for badthen he said goodbye and he paid for lunch promised that wed always keep in touch grabbed my bags and grabbed my thoughts walked away and that was thatand all the feelings i thought were gone came rushing back to me at once tried to smile and hide the way i felt but i was thinking to myselftruth is i never got over you truth is wish i was standing in her shoes truth is and when its all said and done guess im still in love with youtruth is i never should have let you go truth is and its killing me cause now i know truth is when its all said and done guess im still in love with younow the truth is it hurts but i know that the faults mine cause i let him gotried to get over it but its messing with my mind because i knowtruth is i never got over you truth is wish i was standing in her shoes truth is and when its all said and done guess im still in love with youtruth is i never should have let you go truth is but its killing me cause now i know truth is but when its all said and done guess im still in love with youtruth is truth is truth is wish i was standing in her shoes truth is when its all said and done guess im still in love with youtruth is i never should have let you go truth is killing me cause now i know truth is but when its all said and done guess im still in love with youi just gotta be honest i guess i i guess im still in love in love 
74,your body,pretty ricky,2005, yes sir yes sir yes sir yes siri got new shoes on the ride yes sir rollin down 95 yes sir and you can see in my eyes yes sir that im lookin for a cutiepie yes sirand we aint gotta make love yes sir and we can just cuddle up yes sir but if she want me to beat it up yes sir then dammit ill beat it up yes sirmy body your body its burnin up my body your body its burnin up my body your body its burnin up my body your body its burnin upi dont know why but the ladies call ol baby blue the sticker they take me and rape me and make me they victim i lick em and freak em if they married i sleek if they look like wifey material then i keep emstuntin through the city tryin to find a lady whos beautiful but she gotta have booty too baby blue gonna let you do what you wanna do you can feel on it if you really want toget a taste of the salami knock knock knock knock you down like a tsunami bust in you like atomic imma ahead of my class gettin head in the jag look in the duffle bag see benjamin heads on the cashi got new shoes on the ride yes sir rollin down 95 yes sir and you can see in my eyes yes sir that im lookin for a cutiepie yes sirand we aint gotta make love yes sir and we can just cuddle up yes sir but if she want me to beat it up yes sir then dammit ill beat it up yes sirmy body your body its burnin up my body your body its burnin up my body your body its burnin up my body your body its burnin uptop down blue star tag ol master bear skin rugs in the jag spectac with the bad chick in the back tryin ta beat it up like an everlast punching baghotter than a bisquick biscuit out the oven your baby mama go on missions to get this lovin we kissin and huggin she never pick her phone up you be lookin for her while we doin the grown upshe complain when she catch back spasms but she love when she get the back to back orgasms yes sir the game is automatic give it to em one time they come back like addictsi got new shoes on the ride yes sir rollin down 95 yes sir and you can see in my eyes yes sir that im lookin for a cutiepie yes sirand we aint gotta make love yes sir and we can just cuddle up yes sir but if she want me to beat it up yes sir then dammit ill beat it up yes sirmy body your body its burnin up my body your body its burnin up my body your body its burnin up my body your body its burnin upwell let me step up in this thang right lookin smellin good lookin good spec and baby blue and pleasure fool thats all we gotlet me drop my top pull up in the parking lot grab a grape soda bag of chips thats all i gotpark outside minglin wit my homeboys faked out fake hugs leave me alone boy plus the candy lookin good enough to eat you can tell by the way the girls actin cross the streetbut on the other hand alfalfa just hit me on my metro say a party in the park hard baby lets go the balla tick no questions asked so i jumped out the white jag smooth like shaq come here girli got new shoes on the ride yes sir rollin down 95 yes sir and you can see in my eyes yes sir that im lookin for a cutiepie yes sirand we aint gotta make love yes sir and we can just cuddle up yes sir but if she want me to beat it up yes sir then dammit ill beat it up yes sirmy body your body its burnin up my body your body its burnin up 
75,beautiful soul,jesse mccartney,2005, i dont want another pretty face i dont want just anyone to hold i dont want my love to go to waste i want you and your beautiful souli know that you are something special to you id be always faithful i want to be what you always needed then i hope youll see the heart in mei dont want another pretty face i dont want just anyone to hold i dont want my love to go to waste i want you and your beautiful soul youre the one i want to chase youre the one i want to hold i wont let another minute go to waste i want you and your beautiful soul your beautiful soul yeahyou might need time to think it over but im just fine moving forward ill ease your mind if you give me the chance i will never make you cry cmon lets tryi dont want another pretty face i dont want just anyone to hold i dont want my love to go to waste i want you and your beautiful soul youre the one i want to chase youre the one i want to hold i wont let another minute go to waste i want you and your beautiful soulam i crazy for wanting you baby do you think you could want me too i dont want to waste your time do you see things the way i do i just want to know that you feel it too there is nothing left to hidei dont want another pretty face i dont want just anyone to hold i dont want my love to go to waste i want you and your beautiful soul youre the one i want to chase youre the one i want to hold i wont let another minute go to waste i want you and your souli dont want another pretty face i dont want just anyone to hold i dont want my love to go to waste i want you and your beautiful soul your beautiful soul yeah oh yeah your beautiful soul yeah 
76,cool,gwen stefani,2005, its hard to remember how it felt before now i found the love of my life passes things get more comfortable everything is going rightand after all the obstacles its good to see you now with someone else and its such a miracle that you and me are still good friends after all that weve been through i know were cool i know were coolwe used to think it was impossible now you call me by my new last name memories seem like so long ago time always kills the painremember harbor boulevard the dreaming days where the mess was made look how all the kids have grown we have changed but were still the same after all that weve been through i know were cool i know were cool yeah i know were cool 
77,get back,ludacris,2005, heads up heads up heres another one and a and another one ohyeek yeek woop woop why you all in my ear talking a whole bunch of shit that i aint trying to hear get back motherfucker you dont know me like that get back motherfucker you dont know me like that yeek yeek woop woop i aint playing around make one false move ill take ya down get back motherfucker you dont know me like that get back motherfucker you dont know me like thatwho ssso cmon cmon dont get swung on swung on its the knick knack paddywhack still ride in cadillacs family off the street made my homies put the baggies back still stacking plaques yep still action packed yep and dough i keep it flipping like acrobats thats why i pack a mac thatll crack em back cause on my waist theres more heat than the shaq attack but i aint speaking about balling balling just thinking about brawling till yall start bawling we all in together now birds of a feather now just bought a plane so we changing the weather now so put your brakes on caps put your capes on or knock off your block get dropped and have your face flown cause ill prove it scratch off the music like hey little stupid dont make me lose ityeek yeek woop woop why you all in my ear talking a whole bunch of shit that i aint trying to hear get back motherfucker you dont know me like that get back motherfucker you dont know me like that yeek yeek woop woop i aint playing around make one false move ill take ya down get back motherfucker you dont know me like that get back motherfucker you dont know me like thati came i came i saw i saw i hit em right dead in the jaw in the jaw i came i came i saw i saw i hit em right dead in the jaw in the jaw i came i came i saw i saw i hit em right dead in the jaw in the jaw i came i came i saw i saw i hit em right dead in the jaw in the jawsee i caught em wit a right hook caught em wit a jab caught em wit an uppercut kicked em in his ass sent him on his way cause i aint for that talk no trips to the county i aint for that walk we split like two pins at the end of a lane well knock out your spotlight and put an end to your vain put a dtp pendant at the end of yo chain then put the booty of a swisha at the end of a flameyeek yeek woop woop why you all in my ear talking a whole bunch of shit that i aint trying to hear get back motherfucker you dont know me like that get back motherfucker you dont know me like that yeek yeek woop woop i aint playing around make one false move ill take ya down get back motherfucker you dont know me like that get back motherfucker you dont know me like thathey you want what wit me im a tell you one time dont fuck with me get down cause i aint got nothing to lose im having a bad day dont make me take it out on you you want what wit me im a tell you one time dont fuck with me get down cause i aint got nothing to lose and im having a bad day dont make me take it out on youman cause i dont want to do that i want to have a good time and enjoy my jack sit back and watch the women get drunk as hell so i can wake up in the morning wit a story to tell i know its been a lil while since i been out the house but now im here you want to stand around running your mouth i cant hear nothing you saying or spitting so whats up dont you see we in the club man shut the fuck upyeek yeek woop woop why you all in my ear talking a whole bunch of shit that i aint trying to hear get back motherfucker you dont know me like that get back motherfucker you dont know me like that yeek yeek woop woop i aint playing around make one false move ill take ya down get back motherfucker you dont know me like that get back motherfucker you dont know me like thatah we in the red light district ah we in the red light district whoo we in the red light district ah we in the red light district whoo we in the red light district whoo the red light district whoo the red light district ah we in the red light district 
78,outta control,50 cent featuring mobb deep,2005, its the infamous mobb m o b b we cant be touched nigga cant you see gunit you do you man cause me im gon do my thang you know i do my thang im a get my drink on and party like its okaytrust me man its okay bounce with me in slow mo when they hear the kid in the house its like oh no 50 got em locin again they open again got em sippin on that juice and ginyou could find me in the background burnin that backwood stylin and stuntin doin my two step frontin now im a tell you what em told me homey just lose the parental discretions advised this is grown folk musicnow blend in with me as i proceed to break it down its always off the chain man when im around i play the block bumpin it was all for the dough i get the club jumpin cause im sick with flowyou know its sold out like wherever i go i jam packed the show man thats fo sho i got the info you already know man i get it poppin in the club everybody show me love lets goyou know i got what it takes to make the club go outta control quit playin turn the music up a little bit bounce with me now shorty lets get into ityou know i got what it takes to make the club go outta control quit playin turn the music up a little bit bounce with me now homey lets get into ityou wanna search me than search me but hurry up cause im thirsty i need that grind in my system p on my side twistin in club today for the chick to go both ways let me see that id just for proof with the drink till the burn is gonehit the dance floor like a scene from soft porn before it pop make me sign a disclaimer try to get me on some pop shit these chicks will frame you but in any event keep fuckin with 50 it make centscents into them dollars the hoes wanna holla but you lookin at a nigga that done came from the squalla now my buddy so gone i can pop ya collar now follow same nothin let me see you swallowin my crib got the coed back the new problem in the club feed them liquor of the wise im starvin so much green gettin twisted like botanical garden lets goyou know i got what it takes to make the club go outta control quit playin turn the music up a little bit bounce with me now shorty lets get into ityou know i got what it takes to make the club go outta control quit playin turn the music up a little bit bounce with me now homey lets get into ityou already know how it go i bang i shine i play i stay im goin for mine im young im black im rich and yes im ghetto than the motherfuckin project stepsim cool im calm you lookin real stressed im strapped im armed kid hold your head im known for gat poppin when i got problems i dont run i just gun you all upbut we aint come here to start no drama we just lookin for our future baby mamas with money with face with style and body i cook i clean i swear that mamijust as long as you dont go off and tell nobody i go down low im lyin im tryin my best to let you know sugar pop get at p the doc beat make it easy to get em in the bed sheetsyou know i got what it takes to make the club go outta control quit playin turn the music up a little bit bounce with me now shorty lets get into ityou know i got what it takes to make the club go outta control quit playin turn the music up a little bit bounce with me now homey lets get into it 
79,u dont know me,ti,2005, ti you dont know me ima tell yall sucka ass niggaz somethin first of all nigga looka hear dawgyou mighta seen me in the streets but nigga you dont know me when you holla when you speak remember you dont know me save all the hatin and the poppin nigga you dont know me quit tellin niggaz you my partna nigga you dont know medont be a groupie keep it movin nigga you dont know me hey i aint trippin pimpin truth is really you dont know me yeah you know they call me ti but you dont know me you be hatin and i see why cause you dont know mei think its time i made a song for niggaz who dont know me i graduated at the streets ima real og i been trappin shootin pistols since i stood four feet so all you niggaz actin bad you gonna have to show me you gonna make me bring this chevy to a real slow creep my niggaz hangin out the window mouth fulla gold teeth when the guns start poppin wonder when its gone cease choppa hit you in the side and create a slow leakwe can end the speculation cuz today we gon see whats the future of a pussy nigga hatin on me i give a fuck about the feds investigation on me i dont care that they at my shows and they waitin on me ima keep on flossin poppin long as toomp is on the beat tell polices i aint stoppin ima keep it in the streets contrary to yo beliefs im as real as you can be fuck ya thoughts and ya feelings nigga you dont know meyou mighta seen me in the streets but nigga you dont know me when you holla when you speak remember you dont know me save all the hatin and the poppin nigga you dont know me quit tellin niggaz you my partna nigga you dont know medont be a groupie keep it movin nigga you dont know me hey i aint trippin pimpin truth is really you dont know me yeah you know they call me ti but you dont know me you be hatin and i see why cause you dont know mehey once again let me remind you nigga you dont know me so dont be walkin up and askin whats the deal ona ki i dont know if you wearin wires you could be the police if i was slangin dope you couldnt get an oz see me at the psc follow thru and tha show deep hommies holdin up the doe cuz they know we toat heat i just wanna wrap a c blow a dro in a flee only playin bout a dozen different bitches in a weeki just wanna chill with country and his daddy freddy g ballin out everytime every stone is but a g wanna ball in the bahamas curtousy at kt fact i only gotta mill as well as a dolla dp ak house on the hill right next to jg everyweek be there for lunch busta blunt and eat free get in day paid lil craig dead meat thats the only shot we got at gettin cap back on the streetsyou mighta seen me in the streets but nigga you dont know me when you holla when you speak remember you dont know me save all the hatin and the poppin nigga you dont know me quit tellin niggaz you my partna nigga you dont know medont be a groupie keep it movin nigga you dont know me hey i aint trippin pimpin truth is really you dont know me yeah you know they call me ti but you dont know me you be hatin and i see why cause you dont know meyou see a nigga hatin on a g ask em whats it gonna be whatcha lookin at pussy nigga you dont know me at the clubin the streets or where ever we should meet its choppa choppin pistols poppin nigga you dont know me you see a nigga hatin on a g ask em whats it gonna be whatcha lookin at pussy nigga you dont know me at the clubin the streets or where ever we should meet its choppa choppin pistols poppin nigga you dont know meyou mighta seen me in the streets but nigga you dont know me when you holla when you speak remember you dont know me save all the hatin and the poppin nigga you dont know me quit tellin niggaz you my partna nigga you dont know medont be a groupie keep it movin nigga you dont know me hey i aint trippin pimpin truth is really you dont know me yeah you know they call me ti but you dont know me you be hatin and i see why cause you dont know me 
80,these words,natasha bedingfield,2005, these words are my ownthrew some chords together the combination def is who i am is what i do and i was gonna lay it down for youi try to focus my attention but i feel so add i need some help some inspiration but its not coming easilytrying to find the magic trying to write a classic dont you know dont you know dont you knowwaste bin full of paper clever rhymes see you laterthese words are my own from my heart flown i love you i love you i love you i love youtheres no other way to better say i love you love you love youread some byron shelley and keats recited it over a hiphop beat im having trouble saying what i mean with dead poets and drum machinesyou know i had some studio time booked but i couldnt find the killer hook now youve gone and raised the bar right up nothing i write is ever good enoughthese words are my own from my heart flown i love you i love you i love you i love youtheres no other way to better say i love you i love you i love youthese words are my own from my heart flown i love you i love you i love you i love youtheres no other way to better say i love you love youim getting off my stage the curtains pull away no hyperbole to hide behind my naked soul exposestrying to find the magic trying to write a classic waste bin full of paper clever rhymes see you laterthese words are my own from my heart flown dont you know i love you i love you i love you i love youtheres no other way to better say i love you love you i love youthese words are my own from my heart flown i love you i love you i love you i love youtheres no other way to better say i love you love you i love youthese words are my own theyre from my heart i love you i love youthats all ive got to say cant think of a better way and thats all ive got to say i love you is that okay 
81,dont lie,the black eyed peas,2005, yeah uh huh la da da da dasorry sorry sorry sorry hey baby my nose is getting big i noticed it be growing when i been telling them fibs now you say your trusts gettin weaker probably cos my lies just started gettin deeper and the reason for my confession is that i learn my lesson and i really think you have to know the truuth because i lied and i cheated and i lied a little more but after i did it i dont know what i did it for i admit that i have been a little immature fucking with your heart like i was the predator in my book of lies i was the editor and the author i forged my signature and now i apologize for what i did to ya cos what you did to me i did to younononono baby nononono dont lie nononono yeah you kno kno kno know you gotta try what you gonna do when it all comes out when i see you  what youre all about nonono babe nononono dont lie yeah you kno kno kno know you gotta tryshe said im leaving cos she cant take the pain its hard to continue this love it aint the same cant forget the things that ive done inside her brain too many lies committed too many games she feeling like a fool getting on the last train tryin to maintain but the feeling wont change im sorry for the things that ive done and what i became caught up in living my life in the fast lane blinded by lights cameras you know the fame i dont know the reason why i did these thingsand i lie and i lie and i lie and i lieand now our emotions are drained cos i lie and i lie and a little lie lie and now your emotions are drainednononono baby nononono dont lie nononono yeah you kno kno kno know you gotta try what you gonna do when it all comes out when i see you  what youre all about nonono babe nononono dont lie yeah you kno kno kno know you gotta tryooh ooh ooh ooh ooh ooh ooh ba da ba da ba da ba da badabadayo im lying to my girl even though i love her and she all in my world i give her all my attention and diamonds  pearls shes the one who makes me feel on top of the world still i lie to my girl i do itand i lie and i lie and i lie til theres no turning back i dont know why and i lie and i lie til i dont know who i amnononono baby nononono dont lie nononono yeah you kno kno kno know you gotta try what you gonna do when it all comes out when i see you  what youre all about nonono babe nononono dont lie yeah you kno kno kno know you gotta try 
82,get right,jennifer lopez,2005, youre lookin just a little too hard at me standin just a little too close to me youre sayin not quite enough to me youre sippin just a little too slow for me no doubt youre playing real cool homie got me thinking what is it you do for me tripping tripping a little more than i should be so let yourself go and get right with meim about to sign you up we can get right before the night is up we can get right we can get right we can get right im about to fill youre cup we can get right before the night is up we can get right tonight we can get rightyoure lips talking bout i play too much cant a woman take advantage of what she wants my hips moving oh so slow so slow bar tab looking like a condo condo all i need is you here right by my side take whatever you want baby lets ride and whatever you wont do let me decide just put youre name on the dotted lineim about to sign you up we can get right before the night is up we can get right we can get right we can get right im about to fill youre cup we can get right before the night is up we can get right tonight we can get rightso much weve got to say but so little time and if tonight aint long enough dont leave love behind dont leave this love behind baby take my hand ill show you whyim about to sign you up we can get right before the night is up we can get right we can get right we can get right im about to fill youre cup we can get right before the night is up we can get right tonight we can get rightim about to sign you up we can get right before the night is up we can get right we can get right we can get right im about to fill youre cup we can get right before the night is up we can get right tonight we can get rightim about to sign you up we can get right before the night is up we can get right we can get right we can get right im about to fill youre cup we can get right before the night is up we can get right we can get right 
83,daughters,john mayer,2005, i know a girl she puts the color inside of my world but shes just like a maze where all of the walls all continually change and ive done all i can to stand on her steps with my heart in my hand now im starting to see maybe its got nothing to do with mefathers be good to your daughters daughters will love like you do girls become lovers who turn into mothers so mothers be good to your daughters toooh you see that skin its the same shes been standing in since the day she saw him walking away now shes left cleaning up the mess he madeso fathers be good to your daughters daughters will love like you do girls become lovers who turn into mothers so mothers be good to your daughters tooboys you can break youll find out how much they can take boys will be strong and boys soldier on but boys would be gone without warmth from a womans good good hearton behalf of every man looking out for every girl you are the god and weight of her worldso fathers be good to your daughters daughters will love like you do girls become lovers who turn into mothers so mothers be good to your daughters too so mothers be good to your daughters too so mothers be good to your daughters too 
84,as good as i once was,toby keith,2005, she said ive seen you in here before i said ive been here a time or two she said hello my name is bobby jo meet my twin sister betty louand were both feeling kinda wild tonight youre the only cowboy in this place and if youre up for a rodeo ill put a big texas smile on your facei said girls i aint as good as i once was i got a few years on me now but there was a time back in my prime when i could really lay it downand if you need some love tonight then i might have just enough i aint as good as i once was but im as good once as i ever wasi still hang out with my best friend dave ive known him since we were kids at school last night he had a few shots got in a tight spot hustlin a game of poolwith a couple of redneck boys one great big fat biker man i heard david yell across the room hey buddy how bout a helping handi said dave i aint as good as i once was my how the years have flown but there was a time back in my prime when i could really hold my ownbut if you wanna fight tonight guess those boys dont look all that tough i aint as good as i once was but im as good once as i ever wasi used to be hell on wheels back when i was a younger man now my body says you cant do this boy but my pride says oh yes you cani aint as good as i once was thats just the cold hard truth i still throw a few back talk a little smack when im feelin bulletproofso dont you double dog dare me now cause id have to call your bluff i aint as good as i once was but im as good once as i ever wasmay not be good as i once was but im as good once as i ever was 
85,girlfight,brooke valentine featuring lil jon and big boi,2005,featuring lil jon  big boi intro  boy stop  its about to be a girl fight  she really know  brook valentine  uh huh uh huh  big boi  a lil jon  its about to be a what  girl fight   we bout to throw dem bows  we bout to swang dem thangs  theres about to be a what girlfight  chapter i  there she go talkin her mess  all around town makin me stress  i need to get this off my chest  and if her friend want some then shell be next  it really aint that complicated  yall walking round looking all frustrated  want some plex come on lets make it  ya acting real hard but i know ya fakin  know you really dont wanna step to dis  really dont know why you talkin shit  you bout to catch one right in the lip  its about to be a what girlfight  we bout to throw dem bows  we bout to swang dem thangs  its about to be a what girlfight  chapter ii  we on our way to ya neighborhood  the reason why we comin is understood  me and my girls we down to ride  so when you hear us pull up bring ya butt outside  and if you try to call ya cousin and nem  dont forget that i got some of dem  bout to go real hard bout to swang dem thangs  bout to feel elbows all in ya brain  know you really dont wanna step to dis  really dont know why you talkin shit  you bout to catch one right in the lip  its about to be a what girlfight  we bout to throw dem bows  we bout to swang dem thangs  its bout to be a what girlfight  oh i know you dont want me to split yo dome  girl you makin me really mad  oh i know you dont want me to split yo dome  im about to bruise ya face and its sad  big boi  oh snap these bitches they act like cats  in the middle of the dance floor now they preparing to scrap  they takin out their scrunchies and pullin off their pressons  the one on the right is the girlfriend and the one the left is the other woman  someone please call security  these girls too purty  to get down to the nitty titty  i mean the nitty gritty  i mean her tiitty pretty  im trippin  being silly willy  man go on let them hos fight  we bout to throw dem bows  we bout to swang dem thangs  its about to be a what girlfight  dont act like you dont know  we right outside yo door  see you peekin out the window  i know you aint talking noise no more   come outside  dont act like you dont see me  its about to be agirlfight
86,lose my breath,destinys child,2005, can you keep up baby boy make me lose my breath bring the noise make me lose my breath hit me hard make me lose my hah hah can you keep up baby boy make me lose my breath bring the noise make me lose my breath hit me hard make me lose my breath hah hahooh i put it right there made it easy for you to get to now you want to act like ya dont know what to do after i done everything that you ask me grabbed you grinded you liked you tried you move so fast baby now i cant find youooh im startin to believe that im way too much for you all that talk but it seems like it cant come through all those times if you could satisfy me now i see where believing you got me gave you the wheel but you cant drive mecan you keep up baby boy make me lose my breath bring the noise make me lose my breath hit me hard make me lose my hah hah can you keep up baby boy make me lose my breath bring the noise make me lose my breath hit me hard make me lose my breath hah hahooh two things i dont like when im trying to get my groove is a partner that meets only halfway and just cant prove take me out so deep when you know you cant swim need a lifeguard and i need protection to put it on me deep in the right directionooh you understand the facts that im tryna give to you ya movin so slow like you just dont have a clue didnt mama teach you to give affection learn the difference of a man and an adolescent aint you boo so get to steppingcan you keep up baby boy make me lose my breath bring the noise make me lose my breath hit me hard make me lose my hah hah can you keep up baby boy make me lose my breath bring the noise make me lose my breath hit me hard make me lose my breath hah hahcan you keep up baby boy make me lose my breath bring the noise make me lose my breath hit me hard make me lose my hah hah can you keep up baby boy make me lose my breath bring the noise make me lose my breath hit me hard make me lose my breath hah hahif you cant make me say ooh like the beat of this drum why you askin for some you dont really want none if you cant make me say ooh like the beat of this grooveyou dont have no business in this heres your papers baby you are dismissedcan you keep up baby boy make me lose my breath bring the noise make me lose my breath hit me hard make me lose my hah hah can you keep up baby boy make me lose my breath bring the noise make me lose my breath hit me hard make me lose my breath hah hahcan you keep up baby boy make me lose my breath bring the noise make me lose my breath hit me hard make me lose my hah hah can you keep up baby boy make me lose my breath bring the noise make me lose my breath hit me hard make me lose my breath hah hah 
87,ordinary people,john legend,2005, girl im in love with you this aint the honeymoon passed the infatuation phase right in the thick of love at times we get sick of love seems like we argue everydayi know i misbehaved and you made your mistakes and we both still got room left to grow and though love sometimes hurts i still put you first and well make this thing work but i think maybe we should take it slowwere just ordinary people we dont know which way to go cause were ordinary people maybe we should take it slow take it slow ohh this time well take it slow take it slow ohh this time well take it slowthis aint a movie love no fairytale conclusion yall it gets more confusing everyday sometimes its heaven sent then we head back to hell again we kiss then we make up on the wayi hang up you call we rise and we fall and we feel like just walking away as our love advances we take second chances though its not a fantasy i still want you to staywere just ordinary people we dont know which way to go cause were ordinary people maybe we should take it slow take it slow ohh this time well take it slow take it slow ohh this time well take it slowtake it slow maybe well live and learn maybe well crash and burn maybe youll stay maybe youll leave maybe youll return maybe another fight maybe we wont survive but maybe well grow we never know maybe you and iwere just ordinary people we dont know which way to go cause were ordinary people maybe we should take it slowwere just ordinary people we dont know which way to go cause were ordinary people maybe we should take it slowtake it slow ohh this time well take it slow take it slow ohh this time well take it slow take it slow slow this time well take it slow take it slow ohh this time well take it slow 
88,we be burnin,sean paul,2005, just gimme di trees and mek we smoke it yo smoke it yo it dont mek we please so dont provoke it yo voke it yo we nuh need nuh speed so we nuh gon coke it yo coke it yo set we mind at ease we gotta take it slowso when yuh see di sp floatin dont provoke him cau di weed weh we smokin need fi soakin best ting fi di meditation and di best hygrade a jamaicanwhen we a bun a weed we supportin and promotin lau di crack and di coke ting yeah we soakin herb a di healin of di nation legalize it right now we wanna blaze oneeveryday we be burnin not concernin what nobody wanna say we be earnin dollars turning cau we mind deh pon we pay some got gold and oil and diamonds all we got is mary j legalize it time you recognize itthis purple haze it mek mi crazy mek mi write new tune yeah dats what pays me but im not di only occupation goin to get some i give yuh educationwhen a farmer grows it he knows to close it economical benefit help fi those who a fi deh yah pon di hard jugglin cau di system only keep man strugglinstudyin people a use it dont abuse it cau di concentration well reputed dats why herb man dem a di wise one and it found on di grave of king solomonand it good fi di eye sight and di chest sight and it give yuh nuff insight just gimme di light and mek we blaze it we should a neva waste itagain we be burnin not concernin what nobody wanna say we be earnin dollars turnin cau we mind deh pon we pay some got gold and oil and diamonds all we got is mary j legalize it time you recognize itjust gimme di trees and mek we smoke it yo smoke it yo it dont mek we please so dont provoke it yo voke it yo we nuh need nuh speed so we nuh gon coke it yo coke it yo set we mind at ease we gotta take it slowso when yuh see di sp floatin dont provoke him cau di weed weh we smokin need fi soakin best ting fi di meditation and di best hygrade a jamaicancau we know it as a great ting no debatin while dem incarceratin true dem hatin cau dem dont wanna see we a remain calm even though dem condemn incomprehensibleeveryday we be burnin not concernin what nobody wanna say we be earnin dollars turnin cau we mind deh pon we pay some got gold and oil and diamonds all we got is mary j legalize it time you recognize itagain we be burnin not concernin what nobody wanna say we be earnin dollars turnin cau we mind deh pon we pay some got gold and oil and diamonds all we got is mary j legalize it time you recognize itagain we be burnin not concernin what nobody wanna say we be earnin dollars turnin cau we mind deh pon we pay some got gold and oil and diamonds all we got is mary j legalize it time you recognize itjust gimme di trees and mek we smoke it yo smoke it yo it dont mek we please so dont provoke it yo voke it yo we nuh need nuh speed so we nuh gon coke it yo coke it yo set we mind at ease we gotta take it slow 
89,just the girl,the click five,2005,shes cool and shes cruel but she knows whats shes doin she pushed me in the pool at our last school reunion  she laughs at my dreams but i dream about her laughter strange as it seems shes the one im after chorus   cause shes bittersweet she knocks me off of my feet  and i cant help myself i dont want anyone else shes a mystery shes too much for me but i keep coming back for more shes just the girl im looking for she cant keep a secret for more than an hour she runs on one hundred proof attitude power and the more she ignores me the more i adore her what can i do id do anything for her chorus the way she sees its me on her caller id she wont pick up the phone shed rather be alone but i cant give up just yet cause every word shes ever said still ringing in my head still ringing in my head shes cold and shes cruel but she knows what shes doin knows just what to say so my whole day is ruined chorusx2 just the girl im looking for im looking for im looking for im looking for just the girl im looking for
90,TRUE,ryan cabrera,2005, i wont talk i wont breathe i wont move till you finally see that you belong with me you might think i dont look but deep inside the corner of my mind im attached to you mmmim weak its true cause im afraid to know the answer do you want me too cause my heart keeps falling fasterive waited all my life to cross this line to the only thing thats true so i will not hide its time to try anything to be with you all my life ive waited this is trueyou dont know what you do every time you walk into the room im afraid to move im weak its true im just scared to know the ending do you see me too do you even know you met meive waited all my life to cross this line to the only thing thats true so i will not hide its time to try anything to be with you all my life ive waited this is truei know when i go ill be on my way to you the way thats trueive waited all my life to cross this line to the only thing thats true so i will not hide its time to try anything to be with you all my life ive waited this is true 
