Rank,Song,Artist,Year,Lyrics
11,everytime you go away,paul young,1985,hey if we can solve any problem then why do we lose so many tears oh and so you go again when the leading man appears always the same thing cant you see weve got everything goin on and on and on everytime you go away you take a piece of me with you everytime you go away you take a piece of me with you go on and go free yeah maybe youre too close to see i can feel your body move it doesnt mean that much to me i cant go on sayin the same thing just cant you see weve got everything baby even know you know everytime you go away yeah you take a piece of me with you oh everytime you go away you take a piece of me with you i cant go on sayin the same thing cause baby cant you see weve got everything goin on and on and on everytime you go away you take a piece of me with you everytime you go away you take a piece of me with you everytime you go away you take a piece of me with you everytime you go away you take a piece of me with you everytime you go away you take a piece of me with you
12,easy lover,philip bailey and phil collins,1985,easy lover shell get a hold on you believe it like no other before you know it youll be on your knees shes an easy lover shell take your heart but you wont feel it shes like no other and im just trying to make you see shes the kind of girl you dream of dream of keeping hold of youd better forget it youll never get it she will play around and leave you leave you and deceive you better forget it oh youll regret it no youll never change her so leave it leave it get out quick cause seeing is believing its the only way youll ever know shes an easy lover shell get a hold on you believe it like no other before you know it youll be on your knees shes an easy lover shell take your heart but you wont feel it shes like no other and im just trying to make you see youre the one that wants to hold her hold her and control her youd better forget it youll never get it for shell say theres no other till she finds another better forget it oh youll regret it and dont try to change her just leave it leave it youre not the only one ooh seeing is believing its the only way youll ever know oh no dont try to change her just leave it leave it youre not the only one cause seeing is believing its the only way youll ever know oh shes an easy lover shell get a hold on you believe it shes like no other before you know it youll be on your knees shes an easy lover shell take your heart but you wont feel it shes like no other and im just trying to make you see shes an easy lover shell get a hold on you believe it and like no other before you know it youll be on your knees shes an easy lover shell take your heart but you wont feel it shes like no other and im just trying to make you see shes an easy lover shell get a hold on you believe it
13,cant fight this feeling,reo speedwagon,1985, i cant fight this feeling any longer and yet im still afraid to let it flow what started out as friendship has grown stronger i only wish i had the strength to let it showi tell myself that i cant hold out forever i said there is no reason for my fear cause i feel so secure when were together you give my life direction you make everything so clearand even as i wander im keeping you in sight youre a candle in the window on a cold dark winters night and im getting closer than i ever thought i mightand i cant fight this feeling anymore ive forgotten what i started fighting for its time to bring this ship into the shore and throw away the oars forevercause i cant fight this feeling anymore ive forgotten what i started fighting for and if i have to crawl upon the floor come crashing through your door baby i cant fight this feeling anymoremy life has been such a whirlwind since i saw you ive been running round in circles in my mind and it always seems that im following you girl cause you take me to the places that alone id never findand even as i wander im keeping you in sight youre a candle in the window on a cold dark winters night and im getting closer than i ever thought i mightand i cant fight this feeling anymore ive forgotten what i started fighting for its time to bring this ship into the shore and throw away the oars forevercause i cant fight this feeling anymore ive forgotten what i started fighting for and if i have to crawl upon the floor come crashing through your door baby i cant fight this feeling anymore 
14,we built this city,starship,1985, we built this city we built this city on rock and roll built this city we built this city on rock and roll ohsay you dont know me or recognize my face say you dont care who goes to that kind of place kneedeep in the hoopla sinking in your fight we got too many runaways eating up the nightmarconi plays the mamba listen to the radio dont you remember we built this city we built this city on rock and rollwe built this city we built this city on rock and roll built this city we built this city on rock and rollsomeones always playing corporation games who cares theyre always changing corporation names we just want to dance here someone stole the stage they call us irresponsible write us off the pagemarconi plays the mamba listen to the radio dont you remember we built this city we built this city on rock an rollwe built this city we built this city on rock and roll built this city we built this city on rock and roll built this city we built this city on rock and roll built this city we built this city on rock and rollits just another sunday in a tired old street well if you got the toco oh then we just lost the beatwho counts the money underneath the bar and who writes the wrecking ball in two wild guitars dont tell us you need us cause were just simple fools looking for america coming through your schoolsmarconi plays the mamba listen to the radio dont you remember we built this city we built this city on rock an rollwe built this city we built this city on rock and roll built this city we built this city on rock and roll built this city we built this city on rock and roll built this city we built this city on rock and roll oh 
15,the power of love,huey lewis and the news,1985, the power of love is a curious thing make a one man weep make another man sing change a hawk to a little white dove more than a feeling thats the power of lovetougher than diamonds rich like cream stronger and harder than a bad girls dream make a bad one good make a wrong one right power of love that keeps you home at nightyou dont need money dont take fame dont need no credit card to ride this train its strong and its sudden and its cruel sometimes but it might just save your life thats the power of love thats the power of lovefirst time you feel it it might make you sad next time you feel it it might make you mad but youll be glad baby when youve found thats the power makes the world goroundand it dont take money dont take fame dont need no credit card to ride this train its strong and its sudden it can be cruel sometimes but it might just save your lifethey say that all in love is fair yeah but you dont care but you know what to do when it gets hold of you and with a little help from above you feel the power of love you feel the power of love can you feel it  hmmmit dont take money and it dont take fame dont need no credit card to ride this train tougher than diamonds and stronger than steel you wont feel nothin till you feel you feel the power just the power of love thats the power thats the power of love you feel the power of love you feel the power of love feel the power of love 
16,dont you forget about me,simple minds,1985, hey hey hey hey ohhhhhohhhhhohhhohhhhwooooowont you come see about me ill be alone dancing you know it babytell me your troubles and doubts giving me everything inside and out and loves strange so real in the dark think of the tender things that we were working onslow change may pull us apart when the light gets into your heart babydont you forget about me dont dont dont dont dont you forget about mewill you stand above me look my way never love me rain keeps falling rain keeps falling down down downwill you recognize me call my name or walk on by rain keeps falling rain keeps falling down down down downhey hey hey hey ohhhhohhhhohhhohhhhwooooodont you try and pretend its my feeling well win in the end i wont harm you or touch your defenses vanity and securitydont you forget about me ill be alone dancing you know it baby going to take you apart ill put us back together at heart babydont you forget about me dont dont dont dont dont you forget about meas you walk on by will you call my name as you walk on by will you call my name when you walk awayor will you walk away will you walk on by come on call my name will you call my namei say lala la la lala la la lala la la lala la la lala la la lala la la lala la la lala la la lala la la lala la la lala la la lala la la lala la la lala la la lala la la lala la la lala la la lala la la when you walk on by and you call my name 
17,cherish,kool  the gang,1985,lets take a walk together near the ocean shore hand in hand you and i lets cherish every moment we have been given for time is passing by i often pray before i lay down by your side if you receive your calling before i awake could i make it through the night cherish the love we have we should cherish the life we live cherish the love cherish the life cherish the love cherish the love we have for as long as we both shall live cherish the love cherish the life cherish the love cherish the love we have we should cherish the life we live cherish the love cherish the life cherish the love cherish the love we have for as long as we both shall live cherish the love cherish the life cherish the love the world is always changing nothing stays the same but love was stand the test of time the next life that we live in remains to be seen will you be by my side i offen pray before i lay down by your side and if you receive your calling before i awake could i make it through the night cherish the love we have we should cherish the life we live cherish the love cherish the life cherish the love cherish the love we have for as long as we both shall live cherish the love cherish the life cherish the love cherish the love we have we should cherish the life we live cherish the love cherish the life cherish the love we have cherish the love we have for as long as we both shall live cherish the love cherish the life cherish the love cherish the love we have we should cherish the life we live cherish the love
18,st elmos fire man in motion,john parr,1985, growin up you dont see the writing on the wall passin by movin straight ahead you knew it all but maybe sometime if you feel the pain youll find youre all alone everything has changedplay the game you know you cant quit until its won soldier on only you can do what must be done you know in some way youre a lot like me youre just a prisoner and youre tryin to break freei can see the new horizon underneath the blazin sky ill be where the eagles flying higher and higher gonna be your man in motion all i need is a pair of wheels take me where my futures lyin st elmos fireburning up dont know just how far that i can go just how far i go soon be home only just a few miles down the road i can make it i know i can you broke the boy in me but you wont break the mani can see a new horizon underneath the blazin sky ill be where the eagles flying higher and higher gonna be your man in motion all i need is a pair of wheels take me where my futures lyin st elmos firei can climb the highest mountain cross the wildest sea i can feel st elmos fire burnin in me burnin in mejust once in his life a man has his time and my time is now and im coming alivei can hear the music playin i can see the banners fly feel like youre back again and hope ridin high gonna be your man in motion all i need is a pair of wheels take me where the futures lyin st elmos firei can see a new horizon underneath the blazin sky ill be where the eagles flying higher and higher gonna be your man in motion all i need is a pair of wheels take me where the futures lyin st elmos firei can climb the highest mountain cross the wildest sea i can feel st elmos fire burnin in me burnin burnin in me i can feel it burnin ooh burnin inside of me 
19,the heat is on,glenn frey,1985, the heat is on on the street inside your head on every beat and the beats so loud deep inside the pressures high just to stay alive cause the heat is onohwoho ohwoho caught up in the action ive been looking out for you ohwoho ohwoho tell me can you feel it tell me can you feel it tell me can you feel it the heat is on the heat is on the heat is on oh its on the street the heat is onohwoho ohwoho caught up in the action ive been looking out for you ohwoho ohwoho tell me can you feel it tell me can you feel it tell me can you feel it the heat is on yeah the heat is on the heat is on burning burning burning its on the street the heat is onthe shadows high on the darker side behind the doors its a wilder ride you can make a break you can win or lose thats a chance you take when the heats on you when the heat is onohwoho ohwoho caught up in the action ive been looking out for you ohwoho ohwoho tell me can you feel it tell me can you feel it tell me can you feel it the heat is on yeah the heat is on the heat is on its on the street the heat is on i can feel the firethe heat is on flames are burning higher the heat is on baby cant you feel it yeah its on the street the heat is on i can feel it the fire the heat is on flames are burning higher 
20,we are the world,usa for africa,1985, there comes a time when we hear a certain call when the world must come together as one there are people dying and its time to lend a hand to life the greatest gift of allwe cant go on pretending day by day that someone somewhere will soon make a change we are all part of gods great big family and the truth you know love is all we needwe are the world we are the children we are the ones who make a brighter day so lets start giving theres a choice were making were saving our own lives its true well make a better day just you and mewell send them your heart so theyll know that someone cares and their lives will be stronger and free as god has shown us by turning stones to bread and so we all must lend a helping handwe are the world we are the children we are the ones who make a brighter day so lets start giving theres a choice were making were saving our own lives its true well make a better day just you and mewhen youre down and out there seems no hope at all but if you just believe theres no way we can fall well well well well let us realize that a change can only come when we stand together as onewe are the world we are the children we are the ones who make a brighter day so lets start giving theres a choice were making were saving our own lives its true well make a better day just you and mewe are the world we are the children we are the ones who make a brighter day so lets start giving theres a choice were making were saving our own lives its true well make a better day just you and mewe are the world we are the children we are the ones who make a brighter day so lets start giving theres a choice were making were saving our own lives its true well make a better day just you and methere comes a time when we heed a certain call when the world must come together as one there are people dying and its time to lend a hand to life the greatest gift of allwe cant go on pretending day by day that someone somewhere will soon make a change we are all part of gods great big family and the truth you know love is all we needwe are the world we are the children we are the ones who make a brighter day so lets start giving theres a choice were making were saving our own lives its true well make a better day just you and mewell send them your heart so theyll know that someone cares and their lives will be stronger and free as god has shown us by turning stones to bread and so we all must lend a helping handwe are the world we are the children we are the ones who make a brighter day so lets start giving theres a choice were making were saving our own lives its true well make a better day just you and mewhen youre down and out there seems no hope at all but if you just believe theres no way we can fall well well well well let us realize that a change can only come when we stand together as onewe are the world we are the children we are the ones who make a brighter day so lets start giving theres a choice were making were saving our own lives its true well make a better day just you and mewe are the world we are the children we are the ones who make a brighter day so lets start giving theres a choice were making were saving our own lives its true well make a better day just you and mewe are the world we are the children we are the ones who make a brighter day so lets start giving theres a choice were making were saving our own lives its true well make a better day just you and me 
21,shout,tears for fears,1985, shout shout let it all out these are the things i can do without come on im talking to you come onshout shout let it all out these are the things i can do without come on im talking to you come onin violent times you shouldnt have to sell your soul in black and white they really really ought to know those one track minds that took you for a working boy kiss them goodbye you shouldnt have to jump for joy you shouldnt have to shout for joyshout shout let it all out these are the things i can do without come on im talking to you come onthey gave you life and in return you gave them hell as cold as ice i hope we live to tell the tale i hope we live to tell the taleshout shout let it all out these are the things i can do without come on im talking to you come onshout shout let it all out these are the things i can do without come on im talking to you come onshout shout let it all out these are the things i can do without come on im talking to you come onand when youve taken down your guard if i could change your mind id really love to break your heart id really love to break your heartshout shout let it all out these are the things i can do without come on im talking to you come onshout shout let it all out these are the things i can do without come on im talking to you come onshout shout let it all out these are the things i can do without come on im talking to you come onshout shout let it all out these are the things i can do without come on im talking to you come onshout shout let it all out these are the things i can do without come on im talking to you come onshout shout let it all out these are the things i can do without come on im talking to you 
23,saving all my love for you,whitney houston,1985, a few stolen moments is all that we share youve got your family and they need you there though ive tried to resist being last on your list but no other mans gonna do so im saving all my love for youits not very easy living all alone my friends try and tell me find a man of my own but each time i try i just break down and cry cause id rather be home feeling blue so im saving all my love for youyou used to tell me wed run away together love gives you the right to be free you said be patient just wait a little longer but thats just an old fantasyive got to get ready just a few minutes more gonna get that old feeling when you walk through that door cause tonight is the night for feeling alright well be making love the whole night through so im saving all my love for you yes im saving all my love yes im saving all my love for you 
24,heaven,bryan adams,1985, oh thinkin about all our younger years there was only you and me we were young and wild and freenow nothin can take you away from me weve been down that road before but thats over now you keep me comin back for morebaby youre all that i want when youre lyin here in my arms im findin it hard to believe were in heavenand love is all that i need and i found it there in your heart it isnt too hard to see were in heavenoh once in your life you find someone who will turn your world around bring you up when youre feelin downyeah nothin could change what you mean to me oh theres lots that i could say but just hold me now cause our love will light the wayand baby youre all that i want when youre lyin here in my arms im findin it hard to believe were in heavenyeah and love is all that i need and i found it there in your heart it isnt too hard to see were in heaven yeahive been waitin for so long for somethin to arrive for love to come alongnow our dreams are comin true through the good times and the bad yeah ill be standin there by youand baby youre all that i want when youre lyin here in my arms im findin it hard to believe were in heavenand love is all that i need and i found it there in your heart it isnt too hard to see were in heaven heaven ooohyoure all that i want youre all that i need 
25,everything she wants,wham,1985, oh yeah worksomebody told me boy everything she wants is everything she sees i guess i must have loved you cause i said you were the perfect girl for me babybut now were six months older and everything you want and everything you see is out of reach not good enough i dont know what the hell you want from me but boysomebody tell me wont you tell me why i work so hard for you give you money all to give you moneysome people work for a living some people work for fun girl i just work for you they told me marriage was a give and take well show me you can take youve got some giving to doand now you tell me that youre having my baby ill tell you that im happy if you want me to but one step further and my back will break if my best isnt good enough than how can it be good enough for two i cant work any harder than i dosomebody tell me wont you tell me why i work so hard for you give you money all to give you moneywhy do i do the things i do id tell you if i knew my god i dont even think that i love youwont you tell me give you money all to give you moneysomebody tell me wont you tell me why i work so hard for you give you money all to give you moneysomebody tell me wont you tell me why i work so hard for you give you money all to give you moneysomebody tell me wont you tell me why i do the things that i do give you money all to give you money 
26,cool it now,new edition,1985, everybodys saying seeing things without knowing that life brings a change and theyve been checking all the time my friends say im love sick cause iall i keep thinking about is her in my arms got to see what love is all about and i wont be the same until she is mine friends keep telling me tocool it now you got to cool it now oh watch out youre gonna lose control cool it now you better slow it down slow it down youre gonna fall in loveeveryday i walk her home from school and she tells me how she really feels and theres no doubt in my mind that this girl is one of a kind ohcause all i keep thinking about is her in my arms got to see what love is about and i wont feel the same until she is mine friends keep telling me tocool it now you got to cool it now oh watch out youre gonna lose control cool it now you better slow it down slow it down youre gonna fall in lovecool it now you got to cool it now oh watch out youre gonna lose control cool it now you got to slow it down slow it down youre gonna fall in loveall i keep thinking about is her in my arms got to see what love is all about and ill never be the same until you are mine friends keep telling mewhen ya got a girl who takes her time you must slow the pace you cant mess with her mind she feels the same shell let you know just prepare yourself or be ready to goand i hope this message stays in your mind cause you almost lost a girl who is right on time theres one more thing that you got to know just cool it down and stay in controlcool it now you got to cool it now oh watch out youre gonna lose control cool it now you got to slow it down slow it down youre gonna fall in loveall i keep thinking about is her in my arms got to see what love is all about and ill never be the same until you are mine oh listen to me let me tell youwhy you all coming down on me tryin to tell me how my life is supposed to be i know youre only trying to help me out tryin to show me what life is really aboutbut this time im gonna make it on my own so why dont you fellaz just leave me alone ronnie bobby ricky and mike if i love the girl who cares who you likecool it now oh watch out cool it now slow it downcool it now oh watch out cool it now slow it down cool it now oh watch outcause youre gonna lose control cool it now you got to slow it down slow it down youre gonna fall in lovecool it now slow it down youre gonna lose control cool it now you got to slow it down slow it down cause youre gonna fall in lovecool it now slow it down youre gonna lose control cool it now you got to slow it down slow it downcool it now oh watch out cool it now slow it down 
27,miami vice theme,jan hammer,1985,instrumental
28,loverboy,billy ocean,1985, i dont know what youve got but it plays with my emotions i want you so much darling i want to hold you near want to whisper sweet and tender in your earcant stand the thought of you with somebody else got to have your love got to have it all to myself i say yeah yeah yeah yeahi wanna be your lover lover wanna be your lover lover loverboy lover lover yeah wanna be your lover lover loverboyim too far gone its hard to stop baby youre my dream in motion and i wont give up teasin me with your fire my fingers on the trigger youre the one i desirecause i get this feeling feeling from nobody else gotta have your tenderness all to myself i say yeah yeah yeah yeahwanna be your lover lover wanna be your lover lover loverboy lover lover yeah wanna be your lover lover ooh yeahand i want you really but the thing is theres nothing i can say to stop you darling from running running away wont you stay stay stayi wanna be your lover lover yeah i wanna be your lover lover i wanna be your love i gotta be your lovei wanna be your love and i can stand it baby girl i love you more and more each day 
29,lovergirl,teena marie,1985, sugar pop funky popscoffee tea or me baby touch ole my opening line might be a bit pass but dont think that i dont know what im feeling for you cause i got a vibe on you the first time that i saw you saw youi need your love and i wont bring no pain gain a little birdie told me that you feel the same game im for the real and for you im true blue lets make a deal sugar all i want to do is be your one and only loveri just want to be your lover girl i just want to rock your world hey hey heyhook line and sinker baby thats how you caught me my second verse might be a bit old hat but dont think that i dont know what its doing to me cause i got a vibe on you the first time you saw through me through mei need your love and i wont bring no pain gain a little birdie told me that you feel the same game im for the real and for you im true blue lets make a deal sugar all i want to do is be your one and only loveri just want to be your lover girl i just want to rock your world hey hey heyi just want to be your lover girl i just want to rock your world hey hey heybaby let me groove you let me groove into your love i just want to be your lover girllet me prove it to you baby let me rock your world i just want to rock your worldbaby let me soothe you let me smooth into your love i just want to be your lover girllet me prove it to you baby let me rock your world i just want to rock your worldcoffee tea or me baby touche ole my opening line might be a bit passe but dont think that i dont know what im feeling for you cause i got a vibe on you the first time that i saw you whoa 
30,you belong to the city,glenn frey,1985, the sun goes down the night rolls in you can feel it starting all over again the moon comes up and the music calls youre getting tired of staring at the same four walls youre out of your room and down on the street moving through the crowds through the midnight heat the traffic roars and the sirens scream you look at the faces its just like a dreamnobody knows where youre going nobody cares where youve beencause you belong to the city you belong to the night living in a river of darkness beneath the neon light you were born in the city concrete under your feet its in your moves its in your blood youre a man of the streetwhen you said goodbye you were on the run tryin to get away from the things youd done now youre back again and youre feeling strange so much has happened but nothing has changedyou still dont know where youre going your still just a face in the crowdyou belong to the city you belong to the night living in a river of darkness beneath the neon light you were born in the city concrete under your feet its in your blood its in your moves youre a man of the streetyou can feel it you can taste it you can see it you can face it you can hear it youre getting near it you want to make it cause you can take ityou belong to the city you belong to the night you belong to the city you belong to the night you belong you belong 
31,oh sheila,ready for the world,1985, like i always say whats good for the goose is always good for the gander oh sheilaoh baby love me right let me love you till i get it right cant you let the others be cause with you is where i got to be yeahoh sugar where you been hangin out with your male friends listen somebodys going to hurt you the way you love to keep hurting mewe say oh oh sheila let me love you till the morning comes oh oh sheila you know i want to be the only oneoh baby understand that i want to be the only man but it seems youre screaming too hard now think yourself to have an own friendoh baby its plain to see that youre qualified to fill your needs i think you threw an oath on me honey baby just you wait and seeand we say oh oh sheila let me love you till the morning comes incomprehensible oh oh sheila you know i want to be the only one for heroh baby its 1 2 3 i love you baby honestly i want to di a di da li a di a di da lioh oh sheila oh sheila oh oh sheila oh sheilaoh baby love me right let me love you till i get it right cant you let the others be cause with you is where i got to be yeahoh baby understand that i want to be the only man i think you threw an oath on me well hold it baby just you wait and seeand we say ohincomprehensibleoh oh sheila let me love you till the morning comes oh oh sheila you know i want to be the only oneoh oh sheila let me love you till the morning comes oh oh sheila you know i want to be the only onehere we go oh 
