Rank,Song,Artist,Year,Lyrics
11,i know,dionne farris,1995, i know what youre doing yeah yeah i know why you dialed my number i know what youre doing yeah yeah i know why you carei know what youre doing yeah yeah i know why you say you love me i know what youre doing yeah yeah and i dont think its fairi know why you dialed my number i know why you say youre mine i know what youre doingand its not gonna work this time 2i know what youre doing yeah yeah i can never sing in that key i know what youre doing yeah yeah and youre the one to blamei know what youre doing yeah yeah i know why you cant forgive me i know why youre singing lost love the lyrics havent changed1i can recognize the symptoms you should know ive changed my mind i know what youre doing and its not gonna work this time hey hey hey said its not gonna work this timei know what youre doing baby i know why you call my name i know why you say you love me but i cant say the same repeat 1 
12,water runs dry,boyz ii men,1995, we dont even talk anymore and we dont even know what we argue about dont even say i love you no more cause saying how we feel is no longer allowedsome people will work things out and some just dont know how to changelets not wait till the water runs dry we might watch our whole lives pass us by lets not wait till the water runs dry well make the biggest mistake of our lives dont do it babynow they can see the tears in our eyes yeah but we deny the pain that lies deep in our hearts well maybe thats a pain we cant hide cause everybody knows that were both torn apartwhy do we hurt each other why do we push love awaylets not wait till the water runs dry we might watch our whole lives pass us by lets not wait till the water runs dry well make the biggest mistake of our lives dont do it babysome people will work things out and some just dont know how to changelets not wait till the water runs dry we might watch our whole lives pass us by lets not wait till the water runs dry well make the biggest mistake of our lives dont do it baby 
13,freak like me,adina howard,1995, let me lay it on the line i got a little freakiness inside and you know that the man has got to deal with it i dont care what they say im not about to pay nobodys way cause its all about the dog in me mmhmmi want to freak in the morning a freak in the evening just like me i need a roughneck brother that can satisfy me just for me if you are that kind of man cause im that kind of girl i got a freaky secreteverybody sing cause we dont give a damn about a thingcause i will be a freak until the day until the dawn and we can pump pump all through the night till the early morncome on and i will take you around the hood on a gangsta lean cause we can pump pump any time of day its all good for meboy youre moving kind of slow you got to keep it up now there you go theres just one thing that a man must do mmhmmim packing all the flavor you need i got you shook up on your knees cause its all about the dog in mei want to freak in the morning a freak in the evening just like me i need a roughneck brother that can satisfy me just for me if you are that kind of man cause im that kind of girl i got a freaky secreteverybody sing cause we dont give a damn about a thingcause i will be a freak until the day until the dawn and we can pump pump all through the night till the early morncome on and i will take you around the hood on a gangsta lean cause we can pump pump any time of day its all good for mecause i will be a freak until the day until the dawn and we can pump pump all through the night till the early morncome on and i will take you around the hood on a gangsta lean cause we can pump pump any time of day its all good for meone to the two to the two to the three adina do you want to get freaky with me 
14,runaround,blues traveler,1995, oh once upon a midnight dreary i woke with something in my head i couldnt escape the memory of a phone call and of what you saidlike a game show contestant with a parting gift i could not believe my eyes when i saw through the voice of a trusted friend who needs to humor me and tell me lies yeah humor me and tell me liesand ill lie too and say i dont mind and as we seek so shall we find and when youre feeling open ill still be here but not without a certain degree of fear of what will be with you and me i still can see things hopefullybut you why you wanna give me a runaround is it a surefire way to speed things up when all it does is slow me downand shake me and my confidence about a great many things but ive been there i can see it cower like a nervous magician waiting in the wingsof a bad play where the heroes are right and nobody thinks or expects too much and hollywoods calling for the movie rights singing hey babe lets keep in touch hey baby lets keep in touchbut i want more than a touch i want you to reach me and show me all the things no one else can see so what you feel becomes mine as well and soon if were lucky wed be unable to tell whats yours and mine the fishings fine and it doesnt have to rhyme so dont you feed me a linebut you why you wanna give me a runaround is it a surefire way to speed things up when all it does is slow me downtra la la la la bombardier this is the pilot speaking and ive got some news for you it seems my ship still stands no matter what you drop and there aint a whole lot that you can dooh sure the banner may be torn and the winds gotten colder perhaps ive grown a little cynical but i know no matter what the waitress brings i shall drink it and always be full yeah i will drink it and always be fulloh i like coffee and i like tea id like to be able to enter a final plea i still got this dream that you just cant shake i love you to the point you can no longer takewell all right okay so be that way i hope and pray that theres something left to sayfor you now why you wanna give me a runaround is it a surefire way to speed things up when all it does is slow me downoh yeah now why you wanna give me a runaround is it a surefire way to speed things up when all it does is slow me down 
16,have you ever really loved a woman,bryan adams,1995, to really love a woman to understand her you gotta know her deep inside hear every thought see every dream an give her wings when she wants to fly then when you find yourself lyin helpless in her arms you know you really love a womanwhen you love a woman you tell her that shes really wanted when you love a woman you tell her that shes the one cuz she needs somebody to tell her that its gonna last forever so tell me have you ever really really really ever loved a woman yeahto really love a woman let her hold you til you know how she needs to be touched youve gotta breathe her really taste her til you can feel her in your blood an when you can see your unborn children in her eyes you know you really love a womanwhen you love a woman you tell her that shes really wanted when you love a woman you tell her that shes the one cuz she needs somebody to tell her that youll always be together so tell me have you ever really really really ever loved a womanoh youve got to give her some faith hold her tight a little tenderness you gotta treat her right she will be there for you takin good care of you you really gotta love your woman yaand when you find yourself lyin helpless in her arms you know you really love a womanwhen you love a woman you tell her that shes really wanted when you love a woman you tell her that shes the one cuz she needs somebody to tell her that its gonna last forever so tell me have you ever really really really ever loved a woman yeahjust tell me have you ever really really really ever loved a woman oh just tell me have you ever really really really ever loved a woman 
17,always,bon jovi,1995, this romeo is bleeding but you cant see his blood its nothing but some feelings that this old dog kicked up its been raining since you left me now im drowning in the flood you see ive always been a fighter but without you i give upnow i cant sing a love song like the way its meant to be welli guess im not that good anymore but baby thats just meyeah i will love you baby always and ill be there forever and a day alwaysill be there till the stars dont shine til the heavens burst and the words dont rhyme i know when i die youll be on my mind and ill love you alwaysnow your pictures that you left behind are just memories of a different life some that made us laugh some that made us cry one that made you have to say goodbyewhat id give to run my fingers through your hair touch your lips to hold you near when you say your prayers try to understand ive made mistakes im just a manwhen he holds you close when he pulls you near when he says the words youve been needing to hear ill wish i was him cause these words are mine to say to you til the end of timeyeah i will love you baby always and ill be there forever and a day alwaysif you told me to cry for you i could if you told me to die for you i would take a look at my face theres no price i wont pay to say these words to youwell there aint no luck in these loaded dice but baby if you give me just one more try we can pack up our old dreams and our old lives well find a place where the sun still shinesyeah i will love you baby always and ill be there forever and a day alwaysill be there till the stars dont shine til the heavens burst and the words dont rhyme i know when i die youll be on my mind and ill love you always always 
18,boombastic,shaggy,1995, mr lover mr lover mr lover uh uh well sugar heres another one and another daymove to this let me see you jump and twist pump your fist cause you know its hard to resist as long you know youre rollin with the love specialist feel the pow let me put the groove in your hipsthe night is young so lets go roll with the fun you got some gum check it out gimme some cause im about to play an old girl like a drum she shack attack poor soul settle downgirl what you gon do with all that body shake it up all night careful with that thing before you hurt somebody tell me what you like do it babylets dance lets shout shout shake your body down to the ground lets dance lets shout shout shake your body down to the groundlets dance lets shout shout shake your body down to the ground lets dance lets shout shout shake your body down to the groundgotta holla to my fellas who be hangin by the bathroom door waitin for the honeys dance in the dance floor push up and get the niggas yall ready for the score now whos the dog youre the one that sung hardcorecome on i gotta take this part to a new high keep it tight aint got no time no fight you wanna be a player better know to do it right kissin all the honeys under the disco lightgirl what you gon do with all that body shake it up all night careful with that thing before you hurt somebody tell me what you like let em knowlets dance lets shout shout shake your body down to the ground lets dance lets shout shout shake your body down to the groundlets dance lets shout shout shake your body down to the ground lets dance lets shout shout shake your body down to the ground lets dancetake you where theres all night action dancin to the beat with a passion mr lover partys happenin doin anything you imagineill take you where theres all night action dancin to the beat with a passion mr lover partys happenin doin anything you imaginelets dance lets shout shout shake your body down to the ground lets dance lets shout shout shake your body down to the groundlets dance lets shout shout shake your body down to the ground lets dance lets shout shout shake your body down to the groundso babybaby let me see you move your body on the dance hall floor gotta one just jigga shake it up gimme more jerk chicken on the grill so make the champagne pour girl dont be a drag i might show you the door whati like to see bodies take and shake dressed in lace uh and a perfect shape girls local and out of state i got a couple of them and im gettin ready to matecassandra lets shake shout shake your body down to the ground michelle lets shake shout shake your body down to the groundi want theresa to shake shout shake your body down to the ground lisa to shake shout shake your body down to the groundlets dance lets shout shout shake your body down to the ground lets dance lets shout shout shake your body down to the groundlets dance lets shout shout shake your body down to the ground lets dance lets shout shout shake your body down to the groundlets dance lets shout shout shake your body down to the ground lets dance lets shout shout shake your body down to the groundlets dance lets shout shout shake your body down to the ground lets dance lets shout shout shake your body down to the ground 
19,total eclipse of the heart,nicki french,1995,turnaround every now and then i get a little bit lonely and youre never coming around turnaround every now and then i get a little bit tired of listening to the sound of my tears turnaround every now and then i get a little bit nervous that the best of all the years have gone by turnaround every now and then i get a little bit terrified and then i see the look in your eyes turnaround bright eyes every now and then i fall apart turnaround bright eyes every now and then i fall apart and i need you now tonight and i need you more than ever and if youll only hold me tight well be holding on forever and well only be making it right cause well never be wrong together once upon a time i was falling in love now im only falling apart theres nothing i can do a total eclipse of the heart turnaround every now and then i know youll never be the boy you always you wanted to be turnaround every now and then i know youll always be the only boy who wanted me the way that i am turnaround every now and then i know theres no one in the universe as magical and wondrous as you turnaround every now and then i know theres nothing any better and theres nothing i just wouldnt do turnaround bright eyes every now and then i fall apart turnaround bright eyes every now and then i fall apart and i need you now tonight and i need you more than ever and if youll only hold me tight well be holding on forever and well only be making it right cause well never be wrong together we can take it to the end of the line your love is like a shadow on me all of the time i dont know what to do and im always in the dark were living in a powder keg and giving off sparks i really need you tonight forevers gonna start tonight forevers gonna start tonight once upon a time i was falling in love now im only falling apart nothing i can do a total eclipse of the heart once upon a time there was light in my life now theres only love in the dark nothing i can say a total eclipse of the heart now theres only love in the dark now theres only love in the dark now theres only love in the dark now theres only love in the dark total eclipse of the heart now theres only love in the dark now theres only love in the dark now theres only love in the dark total eclipse of the heart once upon a time i was falling in love now im only falling apart nothing i can do a total eclipse of the heart once upon a time i was falling in love now im only falling apart nothing i can do a total eclipse of the heart
20,you gotta be,desree,1995, listen as your day unfolds challenge what the future holds try and keep your head up to the sky lovers they may cause you tears go ahead release your fears stand up and be counted dont be ashamed to cryyou gotta be you gotta be bad you gotta be bold you gotta be wiser you gotta be hard you gotta be tough you gotta be stronger you gotta be cool you gotta be calm you gotta stay together all i know all i know love will save the dayherald what your mother said reading the books your father read try to solve the puzzles in your own sweet time some may have more cash than you others take a different view my oh my heh heyyou gotta be bad you gotta be bold you gotta be wiser you gotta be hard you gotta be tough you gotta be stronger you gotta be cool you gotta be calm you gotta stay together all i know all i know love will save the daytime asks no questions it goes on without you leaving you behind if you cant stand the pace the world keeps on spinning you cant stop it if you try to this time its danger staring you in the faceremember listen as your day unfolds challenge what the future holds try and keep your head up to the sky lovers they may cause you tears go ahead release your fears my oh my heh hey heyyou gotta be bad you gotta be bold you gotta be wiser you gotta be hard you gotta be tough you gotta be stronger you gotta be cool you gotta be calm you gotta stay together all i know all i know love will save the dayyou gotta be bad you gotta be bold you gotta be wiser you gotta be hard you gotta be tough you gotta be stronger you gotta be cool you gotta be calm you gotta stay together all i know all i know love will save the day 
21,you are not alone,michael jackson,1995, another day has gone im still all alone how could this be youre not here with meyou never said goodbye someone tell me why did you have to go and leave my world so coldevery day i sit and ask myself how did love slip away something whispers in my ear and saysthat you are not alone i am here with you though youre far away i am here to stayyou are not alone i am here with you though were far apart youre always in my heartyou are not alone alone alone why alonejust the other night i thought i heard you cry asking me to come and hold you in my armsi can hear your prayers your burdens i will bear but first i need your hand then forever can beginevery day i sit and ask myself how did love slip away something whispers in my ear and saysbut you are not alone i am here with you though youre far away i am here to stayyou are not alone i am here with you though were far apart youre always in my heartyou are not aloneoh whisper three words and ill come running fly and girl you know that ill be there ill be therebut you are not alone i am here with you though youre far away i am here to stayyou are not alone i am here with you though were far apart youre always in my heartbut you are not alone you are not alone i am here with you i am here with you though youre far away though youre far away you and me i am here to stayyou are not alone you are always in my heart i am here with you though were far apart youre always in my heartyou are not alonenot alone you are not alone you are not alone say it again you are not alone you are not alone not alone not alone just reach out for me girl in the morning in the evening not alonenot alone you and me not alone alone together together just stop being alone just stop being alone 
22,hold my hand,hootie  the blowfish,1995,hootie and the blowfish cracked rear view hold my hand with a little love and some tenderness well walk upon the water well rise above this mess with a little peace and some harmony well take the world together well take em by the hand cause ive got a hand for you cause i wanna run with you yesterday i saw you standing there your head was down your eyes were red no comb had touched your hair i said get up and let me see you smile well take a walk together walk the road awhile cause cause ive got a hand for you ive got a hand for you cause i wanna run with you wont you let me run with you yeah hold my hand want you to hold my hand hold my hand ill take you to a place where you can be hold my hand anything you wanna be because i wanna love you the best that the best that i can see i was wasted and i was wasting time till i thought about your problems i thought about your crimes then i stood up and then i screamed aloud i dont wanna be part of your problems dont wanna be part of your crowd no cause ive got a hand for you ive got a hand for you cause i wanna run with you ah wont you let me run with you hold my hand want you to hold my hand hold my hand ill take you to the promised land hold my hand maybe we cant change the world but i wanna love you the best that the best that i can yeah hold my hand want you to hold my hand hold my hand ill take you to a place where you can be hold my hand anything you wanna be because iohno no no no no hold my hand want you to hold my hand hold my hand ill take you to the promised land hold my hand maybe we cant change the world but i wanna love you the best that best that i can oh the best that i can
